VENDOR INVOICE REGISTER — 500 Invoices WITH Embedded Anomalies,,,,,,,,,,,,,,,,,,,
Find: 38 Duplicates | 52 Rate Mismatches | 24 Ghost Invoices | 41 3-Way Match Failures,,,,,,,,,,,,,,,,,,,
Invoice No,Invoice Date,Receipt Date,Vendor ID,Vendor Name,PO Reference,GRN Reference,Item Description,Qty Billed,Rate Billed (Rs.),Basic Amt (Rs.),GST %,GST Amt (Rs.),Total Invoice (Rs.),Payment Terms,Due Date,Payment Status,Submitted Via,Processed By,Notes
INV/V001/74549,11/16/2023,11/18/2023,V001,Sharma Enterprises,PO/FY24/0021,GRN/FY24/0036,Steel Sheets 2mm,730,180.00,"131,400.00",18,"23,652.00","155,052.00",45,31/12/2023,Pending,Email,AP Clerk - Sunita,
INV/V002/43081,02-11-2023,04-11-2023,V002,Rajput Steel Works,PO/FY24/0022,GRN/FY24/0037,Aluminium Rods,468,280.00,"131,040.00",18,"23,587.20","154,627.20",30,02/12/2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V003/81768,23-05-2023,24-05-2023,V003,Gupta Packaging,PO/FY24/0023,GRN/FY24/0038,Rubber Gaskets,221,52.00,"11,492.00",18,"2,068.56","13,560.56",45,07-07-2023,Pending,Email,AP Clerk - Ramesh,
INV/V004/48336,13-04-2024,13-04-2024,V004,Singh Logistics,PO/FY24/0024,GRN/FY24/0039,Cutting Tools Set,623,"1,450.00","903,350.00",18,"162,603.00","1,065,953.00",30,13-05-2024,Pending,Email,AP Clerk - Ramesh,
INV/V005/43522,07-09-2023,08-09-2023,V005,Mehta Industries,PO/FY24/0025,GRN/FY24/0040,Lubricating Oil,71,490.00,"34,790.00",18,"6,262.20","41,052.20",45,22-10-2023,Pending,Email,AP Clerk - Ramesh,
INV/V006/26606,18-11-2023,21/11/2023,V006,Joshi Components,PO/FY24/0026,GRN/FY24/0041,Corrugated Boxes,691,22.00,"15,202.00",12,"1,824.24","17,026.24",45,02-01-2024,Pending,Email,AP Clerk - Mohan,
INV/V007/88363,12-06-2023,06/14/2023,V007,Agarwal Metals,PO/FY24/0027,GRN/FY24/0042,Ball Bearings,226,260.00,"58,760.00",18,"10,576.80","69,336.80",30,12-07-2023,Pending,Email,AP Clerk - Mohan,
INV/V008/67099,09/01/2023,01-09-2023,V008,Patel Suppliers,PO/FY24/0028,GRN/FY24/0043,Hydraulic Hoses,448,720.00,"322,560.00",18,"58,060.80","380,620.80",60,31-10-2023,Pending,Email,AP Clerk - Sunita,
INV/V009/92983,18-04-2024,18/04/2024,V009,Kumar Trading,PO/FY24/0029,GRN/FY24/0044,Safety Gloves,441,95.00,"41,895.00",5,"2,094.75","43,989.75",45,02/06/2024,Pending,Portal,AP Clerk - Ramesh,
INV/V010/11680,03/03/2024,03/04/2024,V010,Verma Auto Parts,PO/FY24/0030,GRN/FY24/0045,Welding Rods,730,210.00,"153,300.00",18,"27,594.00","180,894.00",60,02-05-2024,Pending,Email,AP Clerk - Sunita,
INV/V001/10438,03-01-2024,06-01-2024,V001,Sharma Enterprises,PO/FY24/0031,GRN/FY24/0046,Steel Sheets 2mm,123,180.00,"22,140.00",18,"3,985.20","26,125.20",30,02-02-2024,Pending,WhatsApp,AP Clerk - Sunita,
INV/V002/28823,03/07/2024,08-03-2024,V002,Rajput Steel Works,PO/FY24/0032,GRN/FY24/0047,Aluminium Rods,473,280.00,"132,440.00",18,"23,839.20","156,279.20",30,04/06/2024,Pending,Portal,AP Clerk - Ramesh,
INV/V003/97221,14/10/2023,17-10-2023,V003,Gupta Packaging,PO/FY24/0033,GRN/FY24/0048,Rubber Gaskets,618,52.00,"32,136.00",18,"5,784.48","37,920.48",60,13-12-2023,Pending,Portal,AP Clerk - Mohan,
INV/V004/34378,25-08-2023,26-08-2023,V004,Singh Logistics,PO/FY24/0034,GRN/FY24/0049,Cutting Tools Set,546,"1,450.00","791,700.00",18,"142,506.00","934,206.00",30,09/24/2023,Pending,Email,AP Clerk - Sunita,
INV/V005/14681,07/19/2023,20/07/2023,V005,Mehta Industries,PO/FY24/0035,GRN/FY24/0050,Lubricating Oil,768,490.00,"376,320.00",18,"67,737.60","444,057.60",45,02-09-2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V006/29440,07-10-2023,08-10-2023,V006,Joshi Components,PO/FY24/0036,GRN/FY24/0051,Corrugated Boxes,203,22.00,"4,466.00",12,535.92,"5,001.92",30,06/11/2023,Pending,Portal,AP Clerk - Sunita,
INV/V007/76167,04-05-2024,05/05/2024,V007,Agarwal Metals,PO/FY24/0037,GRN/FY24/0052,Ball Bearings,287,260.00,"74,620.00",18,"13,431.60","88,051.60",30,03-06-2024,Pending,Courier,AP Clerk - Mohan,
INV/V008/17317,06/25/2023,27-06-2023,V008,Patel Suppliers,PO/FY24/0038,GRN/FY24/0053,Hydraulic Hoses,496,720.00,"357,120.00",18,"64,281.60","421,401.60",60,24-08-2023,Pending,Portal,AP Clerk - Ramesh,
INV/V009/79910,05-12-2023,08-12-2023,V009,Kumar Trading,PO/FY24/0039,GRN/FY24/0054,Safety Gloves,286,95.00,"27,170.00",5,"1,358.50","28,528.50",60,03-02-2024,Pending,Email,AP Clerk - Mohan,
INV/V010/41613,27-08-2023,30-08-2023,V010,Verma Auto Parts,PO/FY24/0040,GRN/FY24/0055,Welding Rods,666,210.00,"139,860.00",18,"25,174.80","165,034.80",30,26-09-2023,Pending,Email,AP Clerk - Ramesh,
INV/V001/52100,01-06-2023,01-06-2023,V001,Sharma Enterprises,PO/FY24/0041,GRN/FY24/0056,Steel Sheets 2mm,370,180.00,"66,600.00",18,"11,988.00","78,588.00",30,01-07-2023,Pending,Email,AP Clerk - Mohan,
INV/V002/42074,01/29/2024,01-02-2024,V002,Rajput Steel Works,PO/FY24/0042,GRN/FY24/0057,Aluminium Rods,619,280.00,"173,320.00",18,"31,197.60","204,517.60",45,03/14/2024,Pending,WhatsApp,AP Clerk - Mohan,
INV/V003/60303,25/08/2023,25-08-2023,V003,Gupta Packaging,PO/FY24/0043,GRN/FY24/0058,Rubber Gaskets,374,52.00,"19,448.00",18,"3,500.64","22,948.64",60,24-10-2023,Pending,Portal,AP Clerk - Ramesh,
INV/V004/91268,26-05-2023,29-05-2023,V004,Singh Logistics,PO/FY24/0044,GRN/FY24/0059,Cutting Tools Set,611,"1,450.00","885,950.00",18,"159,471.00","1,045,421.00",30,25-06-2023,Pending,Courier,AP Clerk - Mohan,
INV/V005/65986,30-10-2023,31-10-2023,V005,Mehta Industries,PO/FY24/0045,GRN/FY24/0060,Lubricating Oil,782,490.00,"383,180.00",18,"68,972.40","452,152.40",45,14/12/2023,Pending,Portal,AP Clerk - Mohan,
INV/V006/77474,01/20/2024,20-01-2024,V006,Joshi Components,PO/FY24/0046,GRN/FY24/0061,Corrugated Boxes,146,22.00,"3,212.00",12,385.44,"3,597.44",30,19-02-2024,Pending,Email,AP Clerk - Mohan,
INV/V007/58015,27-05-2023,05/29/2023,V007,Agarwal Metals,PO/FY24/0047,GRN/FY24/0062,Ball Bearings,357,260.00,"92,820.00",18,"16,707.60","109,527.60",45,11-07-2023,Pending,Courier,AP Clerk - Sunita,
INV/V008/34841,16-06-2023,16-06-2023,V008,Patel Suppliers,PO/FY24/0048,GRN/FY24/0063,Hydraulic Hoses,86,720.00,"61,920.00",18,"11,145.60","73,065.60",60,15/08/2023,Pending,Email,AP Clerk - Sunita,
INV/V009/30761,11-04-2024,14-04-2024,V009,Kumar Trading,PO/FY24/0049,GRN/FY24/0064,Safety Gloves,185,95.00,"17,575.00",5,878.75,"18,453.75",30,11-05-2024,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V010/60983,29-02-2024,29-02-2024,V010,Verma Auto Parts,PO/FY24/0050,GRN/FY24/0065,Welding Rods,782,210.00,"164,220.00",18,"29,559.60","193,779.60",30,30-03-2024,Pending,WhatsApp,AP Clerk - Sunita,
INV/V001/86557,02-05-2024,03-05-2024,V001,Sharma Enterprises,PO/FY24/0051,GRN/FY24/0066,Steel Sheets 2mm,226,180.00,"40,680.00",18,"7,322.40","48,002.40",60,01-07-2024,Pending,Portal,AP Clerk - Mohan,
INV/V002/76459,02-02-2024,03-02-2024,V002,Rajput Steel Works,PO/FY24/0052,GRN/FY24/0067,Aluminium Rods,129,280.00,"36,120.00",18,"6,501.60","42,621.60",30,03-03-2024,Pending,Courier,AP Clerk - Sunita,
INV/V003/97631,30-04-2023,02-05-2023,V003,Gupta Packaging,PO/FY24/0053,GRN/FY24/0068,Rubber Gaskets,306,52.00,"15,912.00",18,"2,864.16","18,776.16",60,29-06-2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V004/41180,01/28/2024,30-01-2024,V004,Singh Logistics,PO/FY24/0054,GRN/FY24/0069,Cutting Tools Set,497,"1,450.00","720,650.00",18,"129,717.00","850,367.00",60,28-03-2024,Pending,Courier,AP Clerk - Mohan,
INV/V005/28652,16/12/2023,17-12-2023,V005,Mehta Industries,PO/FY24/0055,GRN/FY24/0070,Lubricating Oil,311,490.00,"152,390.00",18,"27,430.20","179,820.20",45,30-01-2024,Pending,Email,AP Clerk - Mohan,
INV/V006/47900,06/06/2023,06-06-2023,V006,Joshi Components,PO/FY24/0056,GRN/FY24/0071,Corrugated Boxes,763,22.00,"16,786.00",12,"2,014.32","18,800.32",45,21-07-2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V007/26592,23-04-2023,25-04-2023,V007,Agarwal Metals,PO/FY24/0057,GRN/FY24/0072,Ball Bearings,672,260.00,"174,720.00",18,"31,449.60","206,169.60",60,22-06-2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V008/21623,05-02-2024,05-02-2024,V008,Patel Suppliers,PO/FY24/0058,GRN/FY24/0073,Hydraulic Hoses,207,720.00,"149,040.00",18,"26,827.20","175,867.20",30,03/06/2024,Pending,Email,AP Clerk - Ramesh,
INV/V009/62003,28-04-2024,01-05-2024,V009,Kumar Trading,PO/FY24/0059,GRN/FY24/0074,Safety Gloves,710,95.00,"67,450.00",5,"3,372.50","70,822.50",30,05/28/2024,Pending,Email,AP Clerk - Mohan,
INV/V010/12837,25-09-2023,27-09-2023,V010,Verma Auto Parts,PO/FY24/0060,GRN/FY24/0075,Welding Rods,483,210.00,"101,430.00",18,"18,257.40","119,687.40",60,24-11-2023,Pending,Courier,AP Clerk - Mohan,
INV/V001/81887,20-02-2024,20-02-2024,V001,Sharma Enterprises,PO/FY24/0061,GRN/FY24/0076,Steel Sheets 2mm,329,180.00,"59,220.00",18,"10,659.60","69,879.60",60,20/04/2024,Pending,Email,AP Clerk - Ramesh,
INV/V002/53257,29-09-2023,02-10-2023,V002,Rajput Steel Works,PO/FY24/0062,GRN/FY24/0077,Aluminium Rods,686,280.00,"192,080.00",18,"34,574.40","226,654.40",30,29-10-2023,Pending,Portal,AP Clerk - Mohan,
INV/V003/37277,05/09/2023,07-09-2023,V003,Gupta Packaging,PO/FY24/0063,GRN/FY24/0078,Rubber Gaskets,442,52.00,"22,984.00",18,"4,137.12","27,121.12",60,04-11-2023,Pending,Courier,AP Clerk - Ramesh,
INV/V004/24451,22/05/2023,25-05-2023,V004,Singh Logistics,PO/FY24/0064,GRN/FY24/0079,Cutting Tools Set,378,"1,450.00","548,100.00",18,"98,658.00","646,758.00",45,07/06/2023,Pending,Email,AP Clerk - Sunita,
INV/V005/28044,04-02-2024,07/02/2024,V005,Mehta Industries,PO/FY24/0065,GRN/FY24/0080,Lubricating Oil,457,490.00,"223,930.00",18,"40,307.40","264,237.40",60,04-04-2024,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V006/16525,18-04-2023,21-04-2023,V006,Joshi Components,PO/FY24/0066,GRN/FY24/0081,Corrugated Boxes,763,22.00,"16,786.00",12,"2,014.32","18,800.32",30,18-05-2023,Pending,Email,AP Clerk - Mohan,
INV/V007/13582,02/17/2024,20-02-2024,V007,Agarwal Metals,PO/FY24/0067,GRN/FY24/0082,Ball Bearings,723,260.00,"187,980.00",18,"33,836.40","221,816.40",30,03/18/2024,Pending,Email,AP Clerk - Mohan,
INV/V008/62108,29-08-2023,31-08-2023,V008,Patel Suppliers,PO/FY24/0068,GRN/FY24/0083,Hydraulic Hoses,63,720.00,"45,360.00",18,"8,164.80","53,524.80",45,13/10/2023,Pending,Email,AP Clerk - Mohan,
INV/V009/41666,19-03-2024,19-03-2024,V009,Kumar Trading,PO/FY24/0069,GRN/FY24/0084,Safety Gloves,231,95.00,"21,945.00",5,"1,097.25","23,042.25",45,03-05-2024,Pending,Email,AP Clerk - Mohan,
INV/V010/98209,29-08-2023,31-08-2023,V010,Verma Auto Parts,PO/FY24/0070,GRN/FY24/0085,Welding Rods,325,210.00,"68,250.00",18,"12,285.00","80,535.00",45,10/13/2023,Pending,Email,AP Clerk - Mohan,
INV/V001/50063,29-08-2023,29-08-2023,V001,Sharma Enterprises,PO/FY24/0071,GRN/FY24/0086,Steel Sheets 2mm,669,180.00,"120,420.00",18,"21,675.60","142,095.60",60,28-10-2023,Pending,Email,AP Clerk - Ramesh,
INV/V002/28403,06/17/2023,17-06-2023,V002,Rajput Steel Works,PO/FY24/0072,GRN/FY24/0087,Aluminium Rods,363,280.00,"101,640.00",18,"18,295.20","119,935.20",45,01-08-2023,Pending,Portal,AP Clerk - Sunita,
INV/V003/87637,27-12-2023,29-12-2023,V003,Gupta Packaging,PO/FY24/0073,GRN/FY24/0088,Rubber Gaskets,181,52.00,"9,412.00",18,"1,694.16","11,106.16",60,25-02-2024,Pending,Email,AP Clerk - Mohan,
INV/V004/41480,11/04/2023,04-11-2023,V004,Singh Logistics,PO/FY24/0074,GRN/FY24/0089,Cutting Tools Set,636,"1,450.00","922,200.00",18,"165,996.00","1,088,196.00",30,04-12-2023,Pending,Email,AP Clerk - Sunita,
INV/V005/14588,29-06-2023,02-07-2023,V005,Mehta Industries,PO/FY24/0075,GRN/FY24/0090,Lubricating Oil,485,490.00,"237,650.00",18,"42,777.00","280,427.00",30,07/29/2023,Pending,Courier,AP Clerk - Ramesh,
INV/V006/63717,07-10-2023,09-10-2023,V006,Joshi Components,PO/FY24/0076,GRN/FY24/0091,Corrugated Boxes,167,22.00,"3,674.00",12,440.88,"4,114.88",60,06-12-2023,Pending,Portal,AP Clerk - Mohan,
INV/V007/92341,09/27/2023,28-09-2023,V007,Agarwal Metals,PO/FY24/0077,GRN/FY24/0092,Ball Bearings,681,260.00,"177,060.00",18,"31,870.80","208,930.80",60,11/26/2023,Pending,Courier,AP Clerk - Ramesh,
INV/V008/39421,15-08-2023,18-08-2023,V008,Patel Suppliers,PO/FY24/0078,GRN/FY24/0093,Hydraulic Hoses,714,720.00,"514,080.00",18,"92,534.40","606,614.40",30,14/09/2023,Pending,Email,AP Clerk - Sunita,
INV/V009/83103,27/07/2023,29-07-2023,V009,Kumar Trading,PO/FY24/0079,GRN/FY24/0094,Safety Gloves,616,95.00,"58,520.00",5,"2,926.00","61,446.00",45,10-09-2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V010/41682,28/06/2023,30-06-2023,V010,Verma Auto Parts,PO/FY24/0080,GRN/FY24/0095,Welding Rods,537,210.00,"112,770.00",18,"20,298.60","133,068.60",45,12/08/2023,Pending,Courier,AP Clerk - Ramesh,
INV/V001/64518,04/03/2024,03-04-2024,V001,Sharma Enterprises,PO/FY24/0081,GRN/FY24/0096,Steel Sheets 2mm,66,180.00,"11,880.00",18,"2,138.40","14,018.40",60,02-06-2024,Pending,Email,AP Clerk - Mohan,
INV/V002/80160,26-04-2023,26-04-2023,V002,Rajput Steel Works,PO/FY24/0082,GRN/FY24/0097,Aluminium Rods,621,280.00,"173,880.00",18,"31,298.40","205,178.40",30,26-05-2023,Pending,Courier,AP Clerk - Sunita,
INV/V003/31116,20-08-2023,23-08-2023,V003,Gupta Packaging,PO/FY24/0083,GRN/FY24/0098,Rubber Gaskets,612,52.00,"31,824.00",18,"5,728.32","37,552.32",45,04-10-2023,Pending,Email,AP Clerk - Mohan,
INV/V004/69867,03-10-2023,06-10-2023,V004,Singh Logistics,PO/FY24/0084,GRN/FY24/0099,Cutting Tools Set,144,"1,450.00","208,800.00",18,"37,584.00","246,384.00",60,02/12/2023,Pending,Portal,AP Clerk - Mohan,
INV/V005/21066,20/03/2024,22-03-2024,V005,Mehta Industries,PO/FY24/0085,GRN/FY24/0100,Lubricating Oil,315,490.00,"154,350.00",18,"27,783.00","182,133.00",60,19-05-2024,Pending,Portal,AP Clerk - Mohan,
INV/V006/60703,17-04-2023,19-04-2023,V006,Joshi Components,PO/FY24/0086,GRN/FY24/0101,Corrugated Boxes,426,22.00,"9,372.00",12,"1,124.64","10,496.64",60,16-06-2023,Pending,Portal,AP Clerk - Sunita,
INV/V007/93562,28-06-2023,29-06-2023,V007,Agarwal Metals,PO/FY24/0087,GRN/FY24/0102,Ball Bearings,467,260.00,"121,420.00",18,"21,855.60","143,275.60",30,28-07-2023,Pending,Email,AP Clerk - Mohan,
INV/V008/62245,10/30/2023,01/11/2023,V008,Patel Suppliers,PO/FY24/0088,GRN/FY24/0103,Hydraulic Hoses,611,720.00,"439,920.00",18,"79,185.60","519,105.60",45,14/12/2023,Pending,Email,AP Clerk - Sunita,
INV/V009/70708,27-12-2023,29-12-2023,V009,Kumar Trading,PO/FY24/0089,GRN/FY24/0104,Safety Gloves,443,95.00,"42,085.00",5,"2,104.25","44,189.25",45,10/02/2024,Pending,Email,AP Clerk - Ramesh,
INV/V010/23109,19-09-2023,20-09-2023,V010,Verma Auto Parts,PO/FY24/0090,GRN/FY24/0105,Welding Rods,358,210.00,"75,180.00",18,"13,532.40","88,712.40",60,18-11-2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V001/91353,04-06-2023,05-06-2023,V001,Sharma Enterprises,PO/FY24/0091,GRN/FY24/0106,Steel Sheets 2mm,624,180.00,"112,320.00",18,"20,217.60","132,537.60",45,19/07/2023,Pending,Email,AP Clerk - Mohan,
INV/V002/77652,12-02-2024,02/14/2024,V002,Rajput Steel Works,PO/FY24/0092,GRN/FY24/0107,Aluminium Rods,65,280.00,"18,200.00",18,"3,276.00","21,476.00",60,12-04-2024,Pending,Email,AP Clerk - Sunita,
INV/V003/46691,10/05/2023,08-10-2023,V003,Gupta Packaging,PO/FY24/0093,GRN/FY24/0108,Rubber Gaskets,700,52.00,"36,400.00",18,"6,552.00","42,952.00",45,11/19/2023,Pending,Email,AP Clerk - Ramesh,
INV/V004/48969,20-05-2023,23-05-2023,V004,Singh Logistics,PO/FY24/0094,GRN/FY24/0109,Cutting Tools Set,178,"1,450.00","258,100.00",18,"46,458.00","304,558.00",60,19-07-2023,Pending,Courier,AP Clerk - Mohan,
INV/V005/70101,30-09-2023,02-10-2023,V005,Mehta Industries,PO/FY24/0095,GRN/FY24/0110,Lubricating Oil,107,490.00,"52,430.00",18,"9,437.40","61,867.40",45,14-11-2023,Pending,Portal,AP Clerk - Ramesh,
INV/V006/15649,13/12/2023,15/12/2023,V006,Joshi Components,PO/FY24/0096,GRN/FY24/0111,Corrugated Boxes,341,22.00,"7,502.00",12,900.24,"8,402.24",30,12-01-2024,Pending,Email,AP Clerk - Sunita,
INV/V007/98269,19-05-2023,20-05-2023,V007,Agarwal Metals,PO/FY24/0097,GRN/FY24/0112,Ball Bearings,599,260.00,"155,740.00",18,"28,033.20","183,773.20",60,18-07-2023,Pending,Email,AP Clerk - Ramesh,
INV/V008/88564,11/30/2023,02-12-2023,V008,Patel Suppliers,PO/FY24/0098,GRN/FY24/0113,Hydraulic Hoses,448,720.00,"322,560.00",18,"58,060.80","380,620.80",60,29-01-2024,Pending,Portal,AP Clerk - Mohan,
INV/V009/97243,08/28/2023,30-08-2023,V009,Kumar Trading,PO/FY24/0099,GRN/FY24/0114,Safety Gloves,81,95.00,"7,695.00",5,384.75,"8,079.75",45,12-10-2023,Pending,Email,AP Clerk - Ramesh,
INV/V010/40030,10-07-2023,13/07/2023,V010,Verma Auto Parts,PO/FY24/0100,GRN/FY24/0115,Welding Rods,591,210.00,"124,110.00",18,"22,339.80","146,449.80",30,09-08-2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V001/66449,19-03-2024,20-03-2024,V001,Sharma Enterprises,PO/FY24/0101,GRN/FY24/0116,Steel Sheets 2mm,56,180.00,"10,080.00",18,"1,814.40","11,894.40",60,18/05/2024,Pending,Portal,AP Clerk - Ramesh,
INV/V002/99711,07-02-2024,09-02-2024,V002,Rajput Steel Works,PO/FY24/0102,GRN/FY24/0117,Aluminium Rods,231,280.00,"64,680.00",18,"11,642.40","76,322.40",60,07-04-2024,Pending,Email,AP Clerk - Sunita,
INV/V003/83241,07-10-2023,10/09/2023,V003,Gupta Packaging,PO/FY24/0103,GRN/FY24/0118,Rubber Gaskets,528,52.00,"27,456.00",18,"4,942.08","32,398.08",30,06-11-2023,Pending,Email,AP Clerk - Ramesh,
INV/V004/90477,21-12-2023,23-12-2023,V004,Singh Logistics,PO/FY24/0104,GRN/FY24/0119,Cutting Tools Set,386,"1,450.00","559,700.00",18,"100,746.00","660,446.00",60,19-02-2024,Pending,Email,AP Clerk - Sunita,
INV/V005/87963,11/21/2023,22-11-2023,V005,Mehta Industries,PO/FY24/0105,GRN/FY24/0120,Lubricating Oil,210,490.00,"102,900.00",18,"18,522.00","121,422.00",45,05-01-2024,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V006/51608,18-07-2023,18-07-2023,V006,Joshi Components,PO/FY24/0106,GRN/FY24/0121,Corrugated Boxes,138,22.00,"3,036.00",12,364.32,"3,400.32",60,16-09-2023,Pending,Email,AP Clerk - Sunita,
INV/V007/32375,07/12/2023,07/13/2023,V007,Agarwal Metals,PO/FY24/0107,GRN/FY24/0122,Ball Bearings,718,260.00,"186,680.00",18,"33,602.40","220,282.40",30,11-08-2023,Pending,Portal,AP Clerk - Ramesh,
INV/V008/90655,01-04-2024,04/04/2024,V008,Patel Suppliers,PO/FY24/0108,GRN/FY24/0123,Hydraulic Hoses,687,720.00,"494,640.00",18,"89,035.20","583,675.20",30,05/01/2024,Pending,WhatsApp,AP Clerk - Mohan,
INV/V009/24693,18-12-2023,20-12-2023,V009,Kumar Trading,PO/FY24/0109,GRN/FY24/0124,Safety Gloves,237,95.00,"22,515.00",5,"1,125.75","23,640.75",45,01-02-2024,Pending,Email,AP Clerk - Ramesh,
INV/V010/94692,19-01-2024,20/01/2024,V010,Verma Auto Parts,PO/FY24/0110,GRN/FY24/0125,Welding Rods,545,210.00,"114,450.00",18,"20,601.00","135,051.00",45,04/03/2024,Pending,Email,AP Clerk - Ramesh,
INV/V001/24964,04-04-2024,06-04-2024,V001,Sharma Enterprises,PO/FY24/0111,GRN/FY24/0126,Steel Sheets 2mm,496,180.00,"89,280.00",18,"16,070.40","105,350.40",60,03-06-2024,Pending,Email,AP Clerk - Ramesh,
INV/V002/75730,03/10/2023,05-10-2023,V002,Rajput Steel Works,PO/FY24/0112,GRN/FY24/0127,Aluminium Rods,489,280.00,"136,920.00",18,"24,645.60","161,565.60",45,17-11-2023,Pending,Email,AP Clerk - Mohan,
INV/V003/16414,27-02-2024,29-02-2024,V003,Gupta Packaging,PO/FY24/0113,GRN/FY24/0128,Rubber Gaskets,275,52.00,"14,300.00",18,"2,574.00","16,874.00",45,12-04-2024,Pending,Email,AP Clerk - Ramesh,
INV/V004/51295,17-12-2023,20-12-2023,V004,Singh Logistics,PO/FY24/0114,GRN/FY24/0129,Cutting Tools Set,274,"1,450.00","397,300.00",18,"71,514.00","468,814.00",60,15-02-2024,Pending,Courier,AP Clerk - Mohan,
INV/V005/87427,20-03-2024,20-03-2024,V005,Mehta Industries,PO/FY24/0115,GRN/FY24/0130,Lubricating Oil,425,490.00,"208,250.00",18,"37,485.00","245,735.00",30,19-04-2024,Pending,WhatsApp,AP Clerk - Sunita,
INV/V006/29094,01-10-2023,03-10-2023,V006,Joshi Components,PO/FY24/0116,GRN/FY24/0131,Corrugated Boxes,92,22.00,"2,024.00",12,242.88,"2,266.88",45,15-11-2023,Pending,Email,AP Clerk - Mohan,
INV/V007/17268,01/02/2024,01-02-2024,V007,Agarwal Metals,PO/FY24/0117,GRN/FY24/0132,Ball Bearings,240,260.00,"62,400.00",18,"11,232.00","73,632.00",60,01-04-2024,Pending,Email,AP Clerk - Ramesh,
INV/V008/60816,04-02-2024,07-02-2024,V008,Patel Suppliers,PO/FY24/0118,GRN/FY24/0133,Hydraulic Hoses,530,720.00,"381,600.00",18,"68,688.00","450,288.00",45,20/03/2024,Pending,Portal,AP Clerk - Sunita,
INV/V009/85629,09-01-2024,10-01-2024,V009,Kumar Trading,PO/FY24/0119,GRN/FY24/0134,Safety Gloves,778,95.00,"73,910.00",5,"3,695.50","77,605.50",45,23-02-2024,Pending,Email,AP Clerk - Sunita,
INV/V010/49773,29-07-2023,29-07-2023,V010,Verma Auto Parts,PO/FY24/0120,GRN/FY24/0135,Welding Rods,740,210.00,"155,400.00",18,"27,972.00","183,372.00",60,27-09-2023,Pending,Email,AP Clerk - Ramesh,
INV/V001/10985,15-08-2023,16/08/2023,V001,Sharma Enterprises,PO/FY24/0121,GRN/FY24/0136,Steel Sheets 2mm,667,180.00,"120,060.00",18,"21,610.80","141,670.80",30,14/09/2023,Pending,Courier,AP Clerk - Mohan,
INV/V002/47850,25-03-2024,27-03-2024,V002,Rajput Steel Works,PO/FY24/0122,GRN/FY24/0137,Aluminium Rods,133,280.00,"37,240.00",18,"6,703.20","43,943.20",45,05/09/2024,Pending,Email,AP Clerk - Sunita,
INV/V003/34303,20/05/2023,21-05-2023,V003,Gupta Packaging,PO/FY24/0123,GRN/FY24/0138,Rubber Gaskets,185,52.00,"9,620.00",18,"1,731.60","11,351.60",30,19-06-2023,Pending,Portal,AP Clerk - Sunita,
INV/V004/41952,26-03-2024,29-03-2024,V004,Singh Logistics,PO/FY24/0124,GRN/FY24/0139,Cutting Tools Set,245,"1,450.00","355,250.00",18,"63,945.00","419,195.00",30,25-04-2024,Pending,Email,AP Clerk - Sunita,
INV/V005/35201,14-12-2023,12/14/2023,V005,Mehta Industries,PO/FY24/0125,GRN/FY24/0140,Lubricating Oil,73,490.00,"35,770.00",18,"6,438.60","42,208.60",30,13-01-2024,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V006/78896,30-08-2023,30-08-2023,V006,Joshi Components,PO/FY24/0126,GRN/FY24/0141,Corrugated Boxes,716,22.00,"15,752.00",12,"1,890.24","17,642.24",45,14-10-2023,Pending,Email,AP Clerk - Sunita,
INV/V007/23310,11-08-2023,13-08-2023,V007,Agarwal Metals,PO/FY24/0127,GRN/FY24/0142,Ball Bearings,662,260.00,"172,120.00",18,"30,981.60","203,101.60",60,10/10/2023,Pending,Email,AP Clerk - Ramesh,
INV/V008/84409,07-03-2024,09/03/2024,V008,Patel Suppliers,PO/FY24/0128,GRN/FY24/0143,Hydraulic Hoses,418,720.00,"300,960.00",18,"54,172.80","355,132.80",45,04/21/2024,Pending,Portal,AP Clerk - Ramesh,
INV/V009/83462,23/10/2023,26/10/2023,V009,Kumar Trading,PO/FY24/0129,GRN/FY24/0144,Safety Gloves,514,95.00,"48,830.00",5,"2,441.50","51,271.50",60,22-12-2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V010/29688,19-02-2024,19-02-2024,V010,Verma Auto Parts,PO/FY24/0130,GRN/FY24/0145,Welding Rods,581,210.00,"122,010.00",18,"21,961.80","143,971.80",30,20-03-2024,Pending,Email,AP Clerk - Ramesh,
INV/V001/36825,20-11-2023,20-11-2023,V001,Sharma Enterprises,PO/FY24/0131,GRN/FY24/0146,Steel Sheets 2mm,770,180.00,"138,600.00",18,"24,948.00","163,548.00",45,04-01-2024,Pending,Portal,AP Clerk - Mohan,
